==PROF== Connected to process 13113 (/usr/bin/python3.13)
==PROF== Disconnected from process 13113
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","13113","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_512_512_512_0","1","7","(16, 16, 1)","(32, 32, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained","","n/a"
"0","13113","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_512_512_512_0","1","7","(16, 16, 1)","(32, 32, 1)","0","8.6","Command line profiler metrics","gpu__time_duration.sum","ns","133440"
"0","13113","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_512_512_512_0","1","7","(16, 16, 1)","(32, 32, 1)","0","8.6","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector","3.99"
"0","13113","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_512_512_512_0","1","7","(16, 16, 1)","(32, 32, 1)","0","8.6","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_st.ratio","sector","4"
"0","13113","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_512_512_512_0","1","7","(16, 16, 1)","(32, 32, 1)","0","8.6","Command line profiler metrics","l1tex__t_hit_rate.pct","","n/a"
"0","13113","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_512_512_512_0","1","7","(16, 16, 1)","(32, 32, 1)","0","8.6","Command line profiler metrics","l2__t_hit_rate.pct","","n/a"
"0","13113","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_512_512_512_0","1","7","(16, 16, 1)","(32, 32, 1)","0","8.6","Command line profiler metrics","launch__occupancy","","n/a"
"0","13113","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_512_512_512_0","1","7","(16, 16, 1)","(32, 32, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","42"
"0","13113","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_512_512_512_0","1","7","(16, 16, 1)","(32, 32, 1)","0","8.6","Command line profiler metrics","sm__maximum_warps_per_active_cycle_pct","%","83.33"
"0","13113","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_512_512_512_0","1","7","(16, 16, 1)","(32, 32, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained","","n/a"
"0","13113","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_512_512_512_0","1","7","(16, 16, 1)","(32, 32, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained","","n/a"
"0","13113","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_512_512_512_0","1","7","(16, 16, 1)","(32, 32, 1)","0","8.6","Command line profiler metrics","smsp__warp_issue_stalled_barrier_per_warp_active.pct","%","12.73"
"0","13113","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_512_512_512_0","1","7","(16, 16, 1)","(32, 32, 1)","0","8.6","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","11.43"
"0","13113","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_512_512_512_0","1","7","(16, 16, 1)","(32, 32, 1)","0","8.6","Command line profiler metrics","smsp__warp_issue_stalled_not_selected_per_warp_active.pct","%","8.85"
"0","13113","python3.13","127.0.0.1","kernel_cutlass_kernel_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_tensorptrf32_gmem_o_i641_512_512_512_0","1","7","(16, 16, 1)","(32, 32, 1)","0","8.6","Command line profiler metrics","smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct","%","0.42"
